name,price,color,mileage,brand,model,location,date_displayed,transmission,air_conditioner,power_steering,remote_control,item_url,year,log_price,car_age,km_per_year,search_text
Hyundai Matrix 2006,460000.0,Dark blue,,Hyundai,Matrix,Mansoura,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/matrix/6268407,2006.0,13.038983942375959,20.0,,brand Hyundai model Matrix name Hyundai Matrix 2006 location Mansoura color Dark blue transmission Manual
Kia Soul 2011,650000.0,Dark blue,100000.0,Kia,Soul,Bilbeis,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/soul/6268224,2011.0,13.384729180332174,15.0,6666.666666666667,brand Kia model Soul name Kia Soul 2011 location Bilbeis color Dark blue transmission Automatic
Toyota Yaris 2013,450000.0,Silver,8000.0,Toyota,Yaris,Luxor,2024-02-12,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/toyota/yaris/6268280,2013.0,13.017005083966255,13.0,615.3846153846154,brand Toyota model Yaris name Toyota Yaris 2013 location Luxor color Silver transmission Automatic
Geely Emgrand X7 2020,720000.0,Black,100000.0,Geely,Emgrand X7,El Bagour,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand-x7/6268190,2020.0,13.487007879880162,6.0,16666.666666666668,brand Geely model Emgrand X7 name Geely Emgrand X7 2020 location El Bagour color Black transmission Automatic
Emgrand EC 7 2015,315000.0,Black,,Emgrand,EC 7,Obour City,2024-02-12,Manual,Yes,No,No,https://eg.hatla2ee.com/en/car/emgrand/ec-7/6268148,2015.0,12.660331092405906,11.0,,brand Emgrand model EC 7 name Emgrand EC 7 2015 location Obour City color Black transmission Manual
Speranza A516 2008,260000.0,Silver,160000.0,Speranza,A516,Cairo,2024-02-12,Manual,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/a516/6268070,2008.0,12.468440756144114,18.0,8888.888888888889,brand Speranza model A516 name Speranza A516 2008 location Cairo color Silver transmission Manual
MG HS 2021,1450000.0,Black,52000.0,MG,HS,Warraq,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/moris-garage/MG-HS/6268137,2021.0,14.187074804051692,5.0,10400.0,brand MG model HS name MG HS 2021 location Warraq color Black transmission Manual
Toyota Corolla 2024,2100000.0,Silver,0.0,Toyota,Corolla,Cairo,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6268136,2024.0,14.557448378884015,2.0,0.0,brand Toyota model Corolla name Toyota Corolla 2024 location Cairo color Silver transmission Automatic
Toyota Corolla 2020,1320000.0,Black,90000.0,Toyota,Corolla,Kerdasa,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6268014,2020.0,14.093143052138025,6.0,15000.0,brand Toyota model Corolla name Toyota Corolla 2020 location Kerdasa color Black transmission Automatic
Chevrolet Optra 2020,780000.0,Blue,100000.0,Chevrolet,Optra,Kafr el-Sheikh,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6267897,2020.0,13.567050480716235,6.0,16666.666666666668,brand Chevrolet model Optra name Chevrolet Optra 2020 location Kafr el-Sheikh color Blue transmission Automatic
